"period","npp"
"period 1",8.01397480091411
"period 2",60.7121658151978
"period 3",11.8086831165061
"period 4",14.5585380660833
"period 5",173.458758728094
"period 6",80.4639089594594
"period 7",26.5060914449886
"period 8",119.657825415834
"period 9",32.8002988875801
